R12345,John Doe,jdoe@farmingdale.edu,123,1000,pass
R43712,Husam Mousa,mousa@farmingdale.edu,123,2000,pass
R17900,Bob Davidson,davib@farmingdale.edu,287,3001,pass
N10170,Dave Bautista,DaveB@nassau.edu,287,1000,pass
N69223,Jack Dan,jdan@nassau.edu,287,2000,pass
B02077,Johnny Silverhand,JSilver@Buffalo.edu,456,8000,pass
S20446,Amiyl Naimzadeh,naima@farmingdale.edu,838,3001,pass
B01999,Tarma Rovington,TRovington@Buffalo.edu,456,8000,pass
N34567,Brett Davidson,mrdavidson@nassau.edu,287,9001,pass
J20110,Walter White,WWhite@Johnu.edu,823,3001,pass
N42033,Mike Placeholdername,placeholder@nassau.edu,287,8000,pass
S20291,Waai Fu,WaaiFu@SBrook.edu,838,2100,pass
N57849,George Washington,mrpresident@nassau.edu,287,5000,pass
S2340,Ali dean,Ali@sbrook.edu,834,2000,pass
B41205,Mario Mario,MMario@Buffalo.edu,456,3000,pass
S91997,Leon Scott Kennedy,LSKennedy@SBrook.edu,838,2100,pass
N4560,Ahmed ali,ahmed@nassau.edu,287,2000,pass
